trip_date,vehicle_id,tonnage,product,delivery_number,quantity,distributor,amount
1/30/2025,KBC677M,13,UDV,1055444790,648,MT KENYAKARUEBEVERAGESLTD,40000
1/30/2025,KBN536N,7,UDV,1055443780,464,SENATORYETUAGENCIES,20000
1/28/2025,KCU894S,13,UDV,1055433750,600,KISAJU KAGIO,30000
1/30/2025,KCJ579X,13,UDV,1055443626,621,HAPPYLAND BOMET,52000
1/3/2025,KBC677M,13,KEG,1055345769,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/4/2025,KAW901B,13,KEG,1055349048,216,BIA POA DISTRIBUTORS LIMITED,19000
1/4/2025,KCD001A,13,KEG,1055349046,216,BIA POA DISTRIBUTORS LIMITED,19000
1/4/2025,KCK460G,13,KEG,1055349044,216,BIA POA DISTRIBUTORS LIMITED,19000
1/4/2025,KCF685Z,13,KEG,1055349043,216,BIA POA DISTRIBUTORS LIMITED,19000
1/6/2025,KAV208S,13,KEG,1055350866,216,BIA POA DISTRIBUTORS LIMITED,19000
1/6/2025,KCS067W,13,KEG,1055350868,216,BIA POA DISTRIBUTORS LIMITED,19000
1/6/2025,KBC677M,13,KEG,1055351116,216,MANARA LIMITED,20000
1/6/2025,KAW901B,13,KEG,1055352628,216,MANARA LIMITED,20000
1/6/2025,KCF685Z,13,KEG,1055352622,216,HIGHMARK ISHIARA,40000
1/6/2025,KCJ579X,13,KEG,1055350865,216,BIA POA DISTRIBUTORS LIMITED,19000
1/6/2025,KCK133T,13,KEG,1055352630,216,HIGHMARK ISHIARA,40000
1/7/2025,KCJ579X,13,KEG,1055356446,216,DAVID MUNYAE KAKUKU,23000
1/7/2025,KCK133T,13,KEG,1055356458,216,MANARA LIMITED,20000
1/7/2025,KCD001A,13,KEG,1055358174,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/7/2025,KCS067W,13,KEG,1055356074,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/7/2025,KAV208S,13,KEG,1055356073,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/7/2025,KAW901B,13,KEG,1055356487,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
1/7/2025,KBC677M,13,KEG,1055356075,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/8/2025,KAW901B,13,KEG,1055364602,216,BIA POA DISTRIBUTORS LIMITED,19000
1/8/2025,KAV208S,13,KEG,1055365095,216,BIA POA DISTRIBUTORS LIMITED,19000
1/8/2025,KCJ579X,13,KEG,1055362830,216,MANARA LIMITED,20000
1/9/2025,KBC677M,13,KEG,1055365253,216,MANARA LIMITED,20000
1/9/2025,KAV208S,13,KEG,1055368752,216,BIA POA DISTRIBUTORS LIMITED,19000
1/9/2025,KCJ579X,13,KEG,1055369128,216,MANARA LIMITED,20000
1/9/2025,KAW901B,13,KEG,1055368973,216,MANARA LIMITED,20000
1/8/2025,KCF685Z,13,KEG,1055360526,216,BIA POA DISTRIBUTORS LIMITED,19000
1/10/2025,KBT436A,13,KEG,1055373108,216,BIA POA DISTRIBUTORS LIMITED,19000
1/10/2025,KCD001A,13,KEG,1055373102,216,BIA POA DISTRIBUTORS LIMITED,19000
1/10/2025,KCJ579X,13,KEG,1055372441,216,SUPERLINE DISTRIBUTORS LTD SAMBURU,72000
1/10/2025,KBC677M,13,KEG,1055372444,216,SUPERLINE DISTRIBUTORS LTD TAVETA,72000
1/11/2025,KAW901B,13,KEG,1055374743,216,BIA POA DISTRIBUTORS LIMITED,19000
1/11/2025,KCU278L,13,KEG,1055375012,216,BIA POA DISTRIBUTORS LIMITED,19000
1/11/2025,KCS067W,13,KEG,1055375393,216,BIA POA DISTRIBUTORS LIMITED,19000
1/11/2025,KCF685Z,13,KEG,1055374887,216,BIA POA DISTRIBUTORS LIMITED,19000
1/10/2025,KAV208S,13,KEG,1055373741,216,MANARA LIMITED,20000
1/13/2025,KCU278L,13,KEG,1055378177,216,DAVID MUNYAE KAKUKU,23000
1/13/2025,KCF685Z,13,KEG,1055378190,216,BIA POA DISTRIBUTORS LIMITED,19000
1/13/2025,KAW901B,13,KEG,1055378187,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
1/13/2025,KBC677M,13,KEG,1055378239,216,BIA POA DISTRIBUTORS LIMITED,19000
1/13/2025,KBV646Z,13,KEG,1055378220,216,BIA POA DISTRIBUTORS LIMITED,19000
1/13/2025,KBT436A,13,KEG,1055378188,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
1/13/2025,KCJ579X,13,KEG,1055378234,216,BIA POA DISTRIBUTORS LIMITED,19000
1/13/2025,KCD001A,13,KEG,1055378016,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/13/2025,KCK133T,13,KEG,1055378018,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/14/2025,KAV208S,13,KEG,1055383551,216,MANARA LIMITED,20000
1/14/2025,KCF610N,13,KEG,1055382939,216,BIA POA DISTRIBUTORS LIMITED,19000
1/14/2025,KCJ579X,13,KEG,1055383602,216,MANARA LIMITED,20000
1/15/2025,KBC677M,13,KEG,1055387653,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/15/2025,KAW901B,13,KEG,1055387652,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/15/2025,KCK133T,13,KEG,1055387672,216,BIA POA DISTRIBUTORS LIMITED,19000
1/15/2025,KBV646Z,13,KEG,1055387649,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/15/2025,KCS067W,13,KEG,1055387689,216,BIA POA DISTRIBUTORS LIMITED,19000
1/16/2025,KAV208S,13,KEG,1055392336,216,DAVID MUNYAE DISTRIBUTORS COMPANY,23000
1/15/2025,KBT436A,13,KEG,1055387687,216,BIA POA DISTRIBUTORS LIMITED,19000
1/17/2025,KCD001A,13,KEG,1055398345,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
1/17/2025,KCS067W,13,KEG,1055398325,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/17/2025,KAW901B,13,KEG,1055399120,216,MANARA LIMITED,20000
1/17/2025,KCK133T,13,KEG,1055399394,216,DAVID MUNYAE KAKUKU,23000
1/17/2025,KCF610N,13,KEG,1055399117,216,BIA POA DISTRIBUTORS LIMITED,19000
1/17/2025,KCU278L,13,KEG,1055399118,216,HIGHMARK TRADING MUKOTHIMA,54000
1/18/2025,KBV646Z,13,KEG,1055401376,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/20/2025,KAW901B,13,KEG,1055406133,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/20/2025,KAV208S,13,KEG,1055405887,216,HIGHMARK ISHIARA,40000
1/18/2025,KBT436A,13,KEG,1055401371,216,HIGHMARK ISHIARA,40000
1/21/2025,KBV646Z,13,KEG,1055409810,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/21/2025,KBC677M,13,KEG,1055409451,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/22/2025,KAW901B,13,KEG,1055414206,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/22/2025,KBC677M,13,KEG,1055416066,216,MUCHARAGE ENTERPRISES KANGARI,20000
1/22/2025,KAV208S,13,KEG,1055416723,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
1/23/2025,KCK133T,13,KEG,1055420584,216,DAVID MUNYAE DISTRIBUTORS COMPANY,23000
1/23/2025,KCJ579X,13,KEG,1055419845,216,MANARA LIMITED,20000
1/23/2025,KCS067W,13,KEG,1055420695,216,MANARA LIMITED,20000
1/23/2025,KBV646Z,13,KEG,1055420689,216,MANARA LIMITED,20000
1/22/2025,KBT436A,13,KEG,1055414189,216,HIGHMARK ISHIARA,40000
1/22/2025,KCU278L,13,KEG,1055414186,216,HIGHMARK ISHIARA,40000
1/24/2025,KCK133T,13,KEG,1055425373,216,MANARA LIMITED,20000
1/24/2025,KAW901B,13,KEG,1055422685,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
1/24/2025,KAV208S,13,KEG,1055424765,216,MANARA LIMITED,20000
1/25/2025,KCJ579X,13,KEG,1055427585,216,MANARA LIMITED,20000
1/26/2025,KAW901B,13,KEG,1055428353,216,MANARA LIMITED,20000
1/26/2025,KCK133T,13,KEG,1055428394,216,MANARA LIMITED,20000
1/26/2025,KCS067W,13,KEG,1055428384,216,BIA POA DISTRIBUTORS LIMITED,19000
1/26/2025,KBV646Z,13,KEG,1055428464,216,MANARA LIMITED,20000
1/26/2025,KCD001A,13,KEG,1055428383,216,BIA POA DISTRIBUTORS LIMITED,19000
1/26/2025,KBT436A,13,KEG,1055428463,216,MANARA LIMITED,20000
1/25/2025,KCU278L,13,KEG,1055427641,216,MANARA LIMITED,20000
1/27/2025,KCD001A,13,KEG,1055432440,216,MANARA LIMITED,20000
1/27/2025,KBV646Z,13,KEG,1055432570,216,MANARA LIMITED,20000
1/27/2025,KCJ579X,13,KEG,1055432435,216,BIA POA DISTRIBUTORS LIMITED,19000
1/27/2025,KAW901B,13,KEG,1055430450,216,BIA POA DISTRIBUTORS LIMITED,19000
1/27/2025,KCK133T,13,KEG,1055431599,216,MANARA LIMITED,20000
1/28/2025,KCK133T,13,KEG,1055435654,216,MANARA LIMITED,20000
1/28/2025,KCD001A,13,KEG,1055436366,216,DAVID MUNYAE DISTRIBUTORS COMPANY,23000
1/28/2025,KCJ579X,13,KEG,1055437905,216,BIA POA DISTRIBUTORS LIMITED,19000
1/28/2025,KBT436A,13,KEG,1055433788,216,MANARA LIMITED,20000
1/28/2025,KAW901B,13,KEG,1055437469,216,MANARA LIMITED,20000
1/27/2025,KCF610N,13,KEG,1055432263,216,BIA POA DISTRIBUTORS LIMITED,19000
1/28/2025,KCS067W,13,KEG,1055433784,216,BIA POA DISTRIBUTORS LIMITED,19000
1/27/2025,KAV208S,13,KEG,1055432140,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
1/27/2025,KCU278L,13,KEG,1055432442,216,ALBADI COMPANY LTD HOLA,90000
1/29/2025,KBC677M,13,KEG,1055438263,216,MANARA LIMITED,20000
1/30/2025,KBC677M,13,KEG,1055442834,216,MANARA LIMITED,20000
1/30/2025,KCJ579X,13,KEG,1055442824,216,BIA POA DISTRIBUTORS LIMITED,19000
1/29/2025,KCD001A,13,KEG,1055441354,216,BIA POA DISTRIBUTORS LIMITED,19000
1/30/2025,KCU278L,13,KEG,1055442826,216,MANARA LIMITED,20000
1/29/2025,KAV208S,13,KEG,1055442620,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/29/2025,KCK133T,13,KEG,1055438359,216,BIA POA DISTRIBUTORS LIMITED,19000
1/30/2025,KBV646Z,13,KEG,1055443326,216,BIA POA DISTRIBUTORS LIMITED,19000
1/30/2025,KAV208S,13,KEG,1055447045,216,MANARA LIMITED,20000
1/31/2025,KBT436A,13,KEG,1055447171,216,BIA POA DISTRIBUTORS LIMITED,19000
1/31/2025,KAW901B,13,KEG,1055447170,216,BIA POA DISTRIBUTORS LIMITED,19000
1/31/2025,KBT436A,13,KEG,1055450942,216,BIA POA DISTRIBUTORS LIMITED,19000
1/31/2025,KBV646Z,13,KEG,1055447173,216,MANARA LIMITED,20000
1/31/2025,KAV208S,13,KEG,1055447175,216,MANARA LIMITED,20000
1/31/2025,KCJ579X,13,KEG,1055451286,216,BIA POA DISTRIBUTORS LIMITED,19000
1/31/2025,KAW901B,13,KEG,1055451172,216,INTRICATE MARKETING EMALI KIBWEZI,41000
1/30/2025,KCK133T,13,KEG,1055445058,216,SUPERLINE DISTRIBUTORS LTD SAMBURU,72000
1/30/2025,KCU278L,13,KEG,1055447111,216,SUPERLINE DISTRIBUTORS LTD MWATATE,67000
1/30/2025,KCD001A,13,KEG,1055445009,216,SUPERLINE DISTRIBUTORS LTD TAVETA,72000
1/2/2025,KBC677M,13,KEG,661375,300,BIA POA DISTRIBUTORS LIMITED,13300
1/2/2025,KAW901B,13,KEG,661372,300,BIA POA DISTRIBUTORS LIMITED,13300
1/20/2025,KBU196W,13,KEG,661198,300,MANARA LIMITED,16966
1/20/2025,KBU196W,13,KEG,656512,300,MANARA LIMITED,16966
1/23/2025,KBU196W,13,KEG,661201,300,MANARA LIMITED,16966
2/3/2025,KCD001A,13,UDV,1055453907,600,MT KENYAKARUEBEVERAGESLTD,40000
2/3/2025,KCR141P,13,UDV,1055454225,534,ASPENDOS(k)LTD,33237
2/3/2025,KCB803Z,13,UDV,1055454303,600,CYDEN ELDORET,70000
2/6/2025,KAT547U,13,UDV,1055466334,547,HAPPYLAND NAROK,40000
2/5/2025,KCD001A,13,UDV,1055461109,647,HAPPYLAND BOMET,52000
2/8/2025,KCW595H,7,UDV,1055475070,414,SENATORYETUAGENCIES,20000
2/6/2025,KCN156N,13,UDV,1055466429,503,KANGE NKUBU,45000
2/7/2025,KCJ579X,13,UDV,1055469674,661,D.O STORES ELDORET,70000
2/7/2025,KCK133T,13,UDV,1055463502,695,WAMUTI NYERI,35000
2/8/2025,KCK133T,13,UDV,1055475258,656,HAPPYLAND NAROK,40000
2/6/2025,KAV208S,13,UDV,1055468379,600,CYDEN ELDORET,70000
2/11/2025,KDH312K,13,UDV,1055483560,480,CYDEN ELDORET,50000
2/12/2025,KBT436A,13,UDV,1055488379,621,ASPENDOS(k)LTD,33237
2/13/2025,KCB803Z,7,UDV,1055489026,400,KANGE NKUBU,32000
2/12/2025,KCR141P,13,UDV,1055487087,498,MT KENYAKARUEBEVERAGESLTD,27300
2/12/2025,KBU196W,7,UDV,1055486655,334,SUNRISE IKUTHA,37000
2/12/2025,KCU278L,13,UDV,1055483510,600,D.O STORES ELDORET,70000
2/15/2025,KBU196W,7,UDV,1055499443,449,KISAJU KAGIO,21000
2/14/2025,KCK133T,13,UDV,1055495647,583,MT KENYAKARUEBEVERAGESLTD,40000
2/15/2025,KCB803Z,7,UDV,1055499335,449,CYDEN ELDORET,70000
2/14/2025,KBT436A,13,UDV,1055496332,692,ALBADI MWINGI,35000
2/19/2025,KBC677M,13,UDV,1055514079,736,HAPPYLAND NAROK,40000
2/17/2025,KCN156N,13,UDV,1055504002,590,CYDEN ELDORET,70000
2/18/2025,KDH312K,7,UDV,1055502583,357,ALBADI MWINGI,35000
2/18/2025,KCR141P,7,UDV,1055504041,407,ENGIPRODISTRIBUTORSLIMITED,13600
2/17/2025,KCU278L,13,UDV,1055502585,600,MT KENYAKARUEBEVERAGESLTD,40000
2/17/2025,KBC677M,13,UDV,1055502479,657,WAMUTI NYERI,35000
2/17/2025,KAT547U,7,UDV,1055502053,428,MISTERTHREEDISTRIBUTORSLTD,25000
2/19/2025,KCK133T,13,UDV,1055514088,815,TOKI KITUI,37000
2/20/2025,KAV208S,13,UDV,1055518211,610,KISAJU KAGIO,30000
2/20/2025,KCJ579X,13,UDV,1055517862,780,BIA POA DISTRIBUTORS LIMITED,19000
2/22/2025,KAW901B,13,UDV,1055523172,612,CYDEN ELDORET,70000
2/22/2025,KCJ579X,13,UDV,1055524446,614,KISAJU KAGIO,30000
2/22/2025,KAV208S,13,UDV,1055526517,615,WAMUTI NYERI,35000
2/24/2025,KCU278L,13,UDV,1055528155,700,MT KENYAKARUEBEVERAGESLTD,40000
2/20/2025,KBU196W,13,UDV,1055519536,618,HAPPYLAND BOMET,52000
2/25/2025,KAW901B,13,UDV,1055534160,607,DELTA POINT MAKONGENI,20000
2/25/2025,KCB803Z,13,UDV,1055535766,540,BIA POA DISTRIBUTORS LIMITED,19000
2/24/2025,KCD001A,13,UDV,1055528333,616,HAPPYLAND BOMET,52000
2/26/2025,KCR141P,13,UDV,1055539249,572,ENGIPRODISTRIBUTORSLIMITED,19000
2/26/2025,KCB803Z,13,UDV,1055540277,604,KISAJU KAGIO,30000
2/27/2025,KDH312K,7,UDV,1055542535,350,MUCHARAGE KAHURO,19500
2/26/2025,KBU196W,13,UDV,1055540305,546,HAPPYLAND NAROK,40000
2/28/2025,KAT547U,7,UDV,1055549160,490,DAKANEYKEROWCOMMUNICATIONLIMITED,21500
2/27/2025,KCK133T,13,UDV,1055543560,640,WAMUTI NYERI,35000
2/28/2025,KCB803Z,13,UDV,1055549184,611,KISAJU KAGIO,30000
2/28/2025,KBU196W,7,UDV,1055550594,480,CYDEN ELDORET,50000
2/6/2025,KBC677M,13,KEG,1055466188,216,BIA POA DISTRIBUTORS LIMITED,19000
2/6/2025,KAW901B,13,KEG,1055466193,216,BIA POA DISTRIBUTORS LIMITED,19000
2/9/2025,KAW901B,13,KEG,1055475489,216,BIA POA DISTRIBUTORS LIMITED,19000
2/10/2025,KCK133T,13,KEG,1055477563,216,BIA POA DISTRIBUTORS LIMITED,19000
2/11/2025,KAV208S,13,KEG,1055484944,216,BIA POA DISTRIBUTORS LIMITED,19000
2/11/2025,KBT436A,13,KEG,1055484946,216,BIA POA DISTRIBUTORS LIMITED,19000
2/12/2025,KAW901B,13,KEG,1055485586,216,BIA POA DISTRIBUTORS LIMITED,19000
2/12/2025,KBC677M,13,KEG,1055485594,216,BIA POA DISTRIBUTORS LIMITED,19000
2/12/2025,KCD001A,13,KEG,1055486071,216,BIA POA DISTRIBUTORS LIMITED,19000
2/12/2025,KCJ579X,13,KEG,1055489697,216,BIA POA DISTRIBUTORS LIMITED,19000
2/13/2025,KAW901B,13,KEG,1055491427,216,BIA POA DISTRIBUTORS LIMITED,19000
2/13/2025,KAV208S,13,KEG,1055491429,216,BIA POA DISTRIBUTORS LIMITED,19000
2/13/2025,KCD001A,13,KEG,1055491436,216,BIA POA DISTRIBUTORS LIMITED,19000
2/13/2025,KBC677M,13,KEG,1055491437,216,BIA POA DISTRIBUTORS LIMITED,19000
2/21/2025,KCD001A,13,KEG,1055523533,216,BIA POA DISTRIBUTORS LIMITED,19000
2/21/2025,KBT436A,13,KEG,1055523532,216,BIA POA DISTRIBUTORS LIMITED,19000
2/21/2025,KAV208S,13,KEG,1055524481,216,BIA POA DISTRIBUTORS LIMITED,19000
2/26/2025,KCK133T,13,KEG,1055539152,216,BIA POA DISTRIBUTORS LIMITED,19000
2/26/2025,KCJ579X,13,KEG,1055539153,216,BIA POA DISTRIBUTORS LIMITED,19000
2/26/2025,KAW901B,13,KEG,1055539155,216,BIA POA DISTRIBUTORS LIMITED,19000
2/26/2025,KBC677M,13,KEG,1055539157,216,BIA POA DISTRIBUTORS LIMITED,19000
2/26/2025,KBT436A,13,KEG,1055539156,216,BIA POA DISTRIBUTORS LIMITED,19000
2/27/2025,KCJ579X,13,KEG,1055546535,216,BIA POA DISTRIBUTORS LIMITED,19000
2/27/2025,KCD001A,13,KEG,1055547022,216,BIA POA DISTRIBUTORS LIMITED,19000
2/27/2025,KCU278L,13,KEG,1055547024,216,BIA POA DISTRIBUTORS LIMITED,19000
2/28/2025,KAV208S,13,KEG,1055550865,216,BIA POA DISTRIBUTORS LIMITED,19000
2/28/2025,KBT436A,13,KEG,1055550869,216,BIA POA DISTRIBUTORS LIMITED,19000
2/28/2025,KCU278L,13,KEG,1055550871,216,BIA POA DISTRIBUTORS LIMITED,19000
2/7/2025,KAW901B,13,KEG,1055470542,216,HIGHMARK ISHIARA,40000
2/11/2025,KCJ579X,13,KEG,1055484447,216,HIGHMARK ISHIARA,40000
2/3/2025,KAW901B,13,KEG,1055454967,216,HIGHMARK TRADING MUKOTHIMA,54000
2/17/2025,KAW901B,13,KEG,1055501958,216,HIGHMARK TRADING MUKOTHIMA,54000
2/19/2025,KAW901B,13,KEG,1055515689,216,HIGHMARK TRADING MUKOTHIMA,54000
2/25/2025,KBC677M,13,KEG,1055532536,216,HIGHMARK TRADING MUKOTHIMA,54000
2/25/2025,KAV208S,13,KEG,1055535623,216,HIGHMARK TRADING MUKOTHIMA,54000
2/3/2025,KCJ579X,13,KEG,1055454979,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/5/2025,KBV646Z,13,KEG,1055462145,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/6/2025,KCU278L,13,KEG,1055467723,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/7/2025,KBV646Z,13,KEG,1055469952,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/12/2025,KBV646Z,13,KEG,1055489188,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/17/2025,KCD001A,13,KEG,1055501959,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/27/2025,KAV208S,13,KEG,1055542848,216,INTRICATE MARKETING EMALI KIBWEZI,41000
2/3/2025,KBT436A,13,KEG,1055453596,216,MANARA LIMITED,20000
2/3/2025,KCU278L,13,KEG,1055453593,216,MANARA LIMITED,20000
2/17/2025,KAV208S,13,KEG,1055502501,216,MANARA LIMITED,20000
2/18/2025,KCJ579X,13,KEG,1055508231,216,MANARA LIMITED,20000
2/18/2025,KCK133T,13,KEG,1055508379,216,MANARA LIMITED,20000
2/19/2025,KCD001A,13,KEG,1055514419,216,MANARA LIMITED,20000
2/19/2025,KCU278L,13,KEG,1055515641,216,MANARA LIMITED,20000
2/21/2025,KCU278L,13,KEG,1055523517,216,MANARA LIMITED,20000
2/21/2025,KBC677M,13,KEG,1055523525,216,MANARA LIMITED,20000
2/23/2025,KBC677M,13,KEG,1055526787,216,MANARA LIMITED,20000
2/25/2025,KCJ579X,13,KEG,1055533219,216,MANARA LIMITED,20000
2/26/2025,KBT436A,13,KEG,1055538148,216,MANARA LIMITED,20000
2/26/2025,KCD001A,13,KEG,1055541770,216,MANARA LIMITED,20000
2/26/2025,KCU278L,13,KEG,1055541771,216,MANARA LIMITED,20000
2/27/2025,KBC677M,13,KEG,1055546544,216,MANARA LIMITED,20000
2/27/2025,KAW901B,13,KEG,1055546555,216,MANARA LIMITED,20000
2/27/2025,KBT436A,13,KEG,1055546569,216,MANARA LIMITED,20000
2/28/2025,KCD001A,13,KEG,1055548222,216,MANARA LIMITED,20000
2/28/2025,KBC677M,13,KEG,1055548229,216,MANARA LIMITED,20000
2/28/2025,KCJ579X,13,KEG,1055548093,216,MANARA LIMITED,20000
2/28/2025,KAW901B,13,KEG,1055548147,216,MANARA LIMITED,20000
2/3/2025,KAV208S,13,KEG,1055453660,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
2/7/2025,KBT436A,13,KEG,1055473733,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
2/18/2025,KAV208S,13,KEG,1055511021,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
2/21/2025,KCK133T,13,KEG,1055524404,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
2/24/2025,KCK133T,13,KEG,1055528915,216,MT KENYA KARUE BEVERAGES LTD KIRITIRI,30000
2/3/2025,KCK133T,13,KEG,1055453663,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
2/3/2025,KBC677M,13,KEG,1055453664,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
2/7/2025,KBC677M,13,KEG,1055472581,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
2/8/2025,KCD001A,13,KEG,1055474173,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
2/13/2025,KCJ579X,13,KEG,1055493029,216,MT KENYA KARUE BEVERAGES LTD RUNYENJES,31500
2/5/2025,KCU278L,13,KEG,1055462691,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/6/2025,KAV208S,13,KEG,1055464171,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/6/2025,KCJ579X,13,KEG,1055466203,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/6/2025,KBT436A,13,KEG,1055467803,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/8/2025,KBV646Z,13,KEG,1055475438,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/9/2025,KBC677M,13,KEG,1055475575,216,MUCHARAGE ENTERPRISES KANGARI,20000
2/24/2025,KBT436A,13,KEG,1055528901,216,MUCHARAGE ENTERPRISES KANGARI,20000
